,answer,question
0,"British National (Overseas) passport. The British National (Overseas) passport, commonly referred to as the BN(O) passport, is a British passport for persons with British National (Overseas) (BN(O)) status. The passport was first issued in 1987 after the Hong Kong Act 1985, from which this new class of British nationality was created.",how useful is bno passport
1,"On August 15, 1971, the United States unilaterally pulled out of the Bretton Woods Accord. The US abandoned the Gold Exchange Standard whereby the value of the dollar had been pegged to the price of gold and all other currencies were pegged to the dollar, whose value was left to ""float"" (rise and fall according to market demand). Shortly thereafter, Britain followed, floating the pound sterling. The other industrialized nations followed suit with their respective currencies. Anticipating that currency values would fluctuate unpredictably for a time, the industrialized nations increased their reserves (by expanding their money supplies) in amounts far greater than before. The result was a depreciation of the dollar and other industrialized nations' currencies. Because oil was priced in dollars, oil producers' real income decreased. In September 1971, OPEC issued a joint communiqué stating that, from then on, they would price oil in terms of a fixed amount of gold.",Why was there a depreciation of the industrialized nations dollars?
2,"In most jurisdictions (such as the United States), pharmacists are regulated separately from physicians. These jurisdictions also usually specify that only pharmacists may supply scheduled pharmaceuticals to the public, and that pharmacists cannot form business partnerships with physicians or give them ""kickback"" payments. However, the American Medical Association (AMA) Code of Ethics provides that physicians may dispense drugs within their office practices as long as there is no patient exploitation and patients have the right to a written prescription that can be filled elsewhere. 7 to 10 percent of American physicians practices reportedly dispense drugs on their own.",How are pharmacists regulated in most jurisdictions?
3,"While the concept of a ""social market economy"" was only introduced into EU law in 2007, free movement and trade were central to European development since the Treaty of Rome 1957. According to the standard theory of comparative advantage, two countries can both benefit from trade even if one of them has a less productive economy in all respects. Like in other regional organisations such as the North American Free Trade Association, or the World Trade Organisation, breaking down barriers to trade, and enhancing free movement of goods, services, labour and capital, is meant to reduce consumer prices. It was originally theorised that a free trade area had a tendency to give way to a customs union, which led to a common market, then monetary union, then union of monetary and fiscal policy, political and eventually a full union characteristic of a federal state. In Europe, however, those stages were considerably mixed, and it remains unclear whether the ""endgame"" should be the same as a state, traditionally understood. In practice free trade, without standards to ensure fair trade, can benefit some people and groups within countries (particularly big business) much more than others, but will burden people who lack bargaining power in an expanding market, particularly workers, consumers, small business, developing industries, and communities. The Treaty on the Functioning of the European Union articles 28 to 37 establish the principle of free movement of goods in the EU, while articles 45 to 66 require free movement of persons, services and capital. These so-called ""four freedoms"" were thought to be inhibited by physical barriers (e.g. customs), technical barriers (e.g. differing laws on safety, consumer or environmental standards) and fiscal barriers (e.g. different Value Added Tax rates). The tension in the law is that the free movement and trade is not supposed to spill over into a licence for unrestricted commercial profit. The Treaties limit free trade, to prioritise other values such as public health, consumer protection, labour rights, fair competition, and environmental improvement. Increasingly the Court of Justice has taken the view that the specific goals of free trade are underpinned by the general aims of the treaty for improvement of people's well being.",Breaking down barriers to trade and enhancing the free movement of goods is meant to reduce what?
4,"Reserved matters are subjects that are outside the legislative competence of the Scotland Parliament. The Scottish Parliament is unable to legislate on such issues that are reserved to, and dealt with at, Westminster (and where Ministerial functions usually lie with UK Government ministers). These include abortion, broadcasting policy, civil service, common markets for UK goods and services, constitution, electricity, coal, oil, gas, nuclear energy, defence and national security, drug policy, employment, foreign policy and relations with Europe, most aspects of transport safety and regulation, National Lottery, protection of borders, social security and stability of UK's fiscal, economic and monetary system.",Most aspects of transport safety is a subject dealt with by whom?
5,"While the existence of these central government departments and the Six Ministries (which had been introduced since the Sui and Tang dynasties) gave a Sinicized image in the Yuan administration, the actual functions of these ministries also reflected how Mongolian priorities and policies reshaped and redirected those institutions. For example, the authority of the Yuan legal system, the Ministry of Justice, did not extend to legal cases involving Mongols and Semuren, who had separate courts of justice. Cases involving members of more than one ethnic group were decided by a mixed board consisting of Chinese and Mongols. Another example was the insignificance of the Ministry of War compared with native Chinese dynasties, as the real military authority in Yuan times resided in the Privy Council.",Who had no real military power during the Yuan?
6,"The principle of cross-cutting relationships pertains to the formation of faults and the age of the sequences through which they cut. Faults are younger than the rocks they cut; accordingly, if a fault is found that penetrates some formations but not those on top of it, then the formations that were cut are older than the fault, and the ones that are not cut must be younger than the fault. Finding the key bed in these situations may help determine whether the fault is a normal fault or a thrust fault.",What is the age of key beds if they are related to a fault and not cut?
7,Many Americans justified westward expansion during the 1840s based on. 1) a belief in Manifest Destiny. 2) a need to preserve the natural environment. 3) the authority of the Monroe Doctrine. 4) the constitutional principles in the Bill of Rights.,what were three effects of westward expansion in the united states during the mid-nineteenth century?
8,"The principles of European Union law are rules of law which have been developed by the European Court of Justice that constitute unwritten rules which are not expressly provided for in the treaties but which affect how European Union law is interpreted and applies. In formulating these principles, the courts have drawn on a variety of sources, including: public international law and legal doctrines and principles present in the legal systems of European Union member states and in the jurisprudence of the European Court of Human Rights. Accepted general principles of European Union Law include fundamental rights (see human rights), proportionality, legal certainty, equality before the law and subsidiarity.",What are some of the rejected general principles of European Union law?
9,"s released from the hospital, he learns that Martinez has been released, and that the District Attorney will seek the death penalty against Roulet. As Haller rides off to his next case, he is pulled over by Vogel and the biker gang, whose next case he takes pro bono due to their previous help.",what happens at the end of lincoln lawyer
10,"(August 2009) (Learn how and when to remove this template message) Under the Appointments Clause of the United States Constitution and law of the United States, certain federal positions appointed by the president of the United States require confirmation (advice and consent) of the United States Senate.",presidential appointee definition
11,"Today, the Treaty of Lisbon prohibits anti-competitive agreements in Article 101(1), including price fixing. According to Article 101(2) any such agreements are automatically void. Article 101(3) establishes exemptions, if the collusion is for distributional or technological innovation, gives consumers a ""fair share"" of the benefit and does not include unreasonable restraints that risk eliminating competition anywhere (or compliant with the general principle of European Union law of proportionality). Article 102 prohibits the abuse of dominant position, such as price discrimination and exclusive dealing. Article 102 allows the European Council to regulations to govern mergers between firms (the current regulation is the Regulation 139/2004/EC). The general test is whether a concentration (i.e. merger or acquisition) with a community dimension (i.e. affects a number of EU member states) might significantly impede effective competition. Articles 106 and 107 provide that member state's right to deliver public services may not be obstructed, but that otherwise public enterprises must adhere to the same competition principles as companies. Article 107 lays down a general rule that the state may not aid or subsidise private parties in distortion of free competition and provides exemptions for charities, regional development objectives and in the event of a natural disaster.",Which articles state that the member states' rights to deliver public services may not be obstructed?
12,"During the tenure of Morrison Waite as Chief Justice of the Supreme Court of the United States (March 4, 1874 through March 23, 1888), the Supreme Court heard an unprecedented volume and frequency of criminal cases. In just fourteen years, the Court heard 106 criminal cases, almost as many cases as the Supreme Court had heard in the period from its creation to the appointment of Waite as Chief Justice. Notable cases include ""United States v. Cruikshank"" (1875), ""United States v. Reese"" (1875), ""Reynolds v. United States"" (1878), ""Wilkerson v. Utah"" (1879), the ""Trade-Mark Cases"" (1879), ""Strauder v. West Virginia"" (1880), ""Pace v. Alabama"" (1883), ""United States v. Harris"" (1883), ""Ex parte Crow Dog"" (1883), ""Hurtado v. California"" (1884), ""Clawson v. United States"" (1885), ""Yick Wo v. Hopkins"" (1886), ""United States v. Kagama"" (1886), ""Ker v. Illinois"" (1886), and ""Mugler v. Kansas"" (1887).

Chaplinsky v. New Hampshire, 315 U.S. 568 (1942) , is a United States Supreme Court case in which the Court articulated the fighting words doctrine, a limitation of the First Amendment's guarantee of freedom of speech.

The University of California, Berkeley, School of Law, commonly referred to as Berkeley Law and Boalt Hall, is one of 14 schools and colleges at the University of California, Berkeley. Berkeley Law is consistently ranked as one of the top law schools in the nation. The law school has produced leaders in law, government, and society, including Chief Justice of the United States Earl Warren, Secretary of State of the United States Dean Rusk, Attorney General of the United States Edwin Meese, United States Secretary of the Treasury and Chairman of the Federal Reserve G. William Miller, Solicitor General of the United States Theodore Olson, and lead litigator of the ""Korematsu v. United States"" civil rights case, Dale Minami.",Do both Korematsu v. United States and Chaplinsky v. New Hampshire cases regard the rights of U. S. citizens?
13,"Sometimes the prosecution proposes a plea bargain to civil disobedients, as in the case of the Camden 28, in which the defendants were offered an opportunity to plead guilty to one misdemeanor count and receive no jail time. In some mass arrest situations, the activists decide to use solidarity tactics to secure the same plea bargain for everyone. But some activists have opted to enter a blind plea, pleading guilty without any plea agreement in place. Mohandas Gandhi pleaded guilty and told the court, ""I am here to . . . submit cheerfully to the highest penalty that can be inflicted upon me for what in law is a deliberate crime and what appears to me to be the highest duty of a citizen.""","When many people are arrested, what is a common tactic negotiating?"
14,"Consumer protection. In regulatory jurisdictions that provide for this (a list including most or all developed countries with free market economies) consumer protection is a group of laws and organizations designed to ensure the rights of consumers, as well as fair trade, competition, and accurate information in the marketplace.",consumer bill of rights definition
15,"Two years later came the Northwest Ordinance of 1787. This ordinance provided land in the Great Lakes and Ohio Valley regions for settlement. (It eventually broke into five states: Michigan, Indiana, Wisconsin, Ohio, and Illinois).n an effort to consolidate schools and make education mandatory, Congress enacted the Land Ordinance of 1785. This ordinance set aside what was known as Section Sixteen in every township in the new Western Territory for the maintenance of public schools.",which of the following was a result of the land ordinance of 1785
16,"d for by President John F. Kennedy in his Report to the American People on Civil Rights of June 11, 1963, in which he asked for legislation ""giving all Americans the right to be served in facilities which are open to the public—hotels, restaurants, theaters, retail stores, and similar establishments"", as well as ""greater protection for the right to vote"". Kennedy delivered this speech following the immediate aftermath of the Birmingham campaign and the growing number of demonstrations and protests throughout the southern United States. Kennedy was moved to action following the elevated racial tensions and wave of black riots in the spring 1963.
Emulating the",who does the civil rights act of 1964 protect
17,"As a result, the provision is not a bequest of a specific sum of money or of specific property, and any distribution under that provision is a deduction for the estate and income to the beneficiary (to the extent of the estate's distributable net income).enerally, any distribution of income (or property in kind) to a beneficiary is an allowable deduction to the estate and is includible in the beneficiary's gross income to the extent of the estate's distributable net income.",are bequests taxable
18,"During The Hoover Administration, policies were put into place to improve relations, such as the Clark Memorandum of 1930 in which the State Department retracted Theodore Roosevelt's Corollary to the 1823 Monroe Doctrine, which declared that only the United States could collect debts owed to foreigners by countries in the Western Hemisphere.",how did the roosevelt corollary subvert the monroe doctrine?
19,"The specific devolved matters are all subjects which are not explicitly stated in Schedule 5 to the Scotland Act as reserved matters. All matters that are not specifically reserved are automatically devolved to the Scottish Parliament. Most importantly, this includes agriculture, fisheries and forestry, economic development, education, environment, food standards, health, home affairs, Scots law – courts, police and fire services, local government, sport and the arts, transport, training, tourism, research and statistics and social work. The Scottish Parliament has the ability to alter income tax in Scotland by up to 3 pence in the pound. The 2012 Act conferred further fiscal devolution including borrowing powers and some other unconnected matters such as setting speed limits and control of air guns.",The 2002 Act granted further fiscal devolution including what?
20,"The party, or parties, that hold the majority of seats in the Parliament forms the Scottish Government. In contrast to many other parliamentary systems, Parliament elects a First Minister from a number of candidates at the beginning of each parliamentary term (after a general election). Any member can put their name forward to be First Minister, and a vote is taken by all members of Parliament. Normally, the leader of the largest party is returned as First Minister, and head of the Scottish Government. Theoretically, Parliament also elects the Scottish Ministers who form the government of Scotland and sit in the Scottish cabinet, but such ministers are, in practice, appointed to their roles by the First Minister. Junior ministers, who do not attend cabinet, are also appointed to assist Scottish ministers in their departments. Most ministers and their juniors are drawn from amongst the elected MSPs, with the exception of Scotland's Chief Law Officers: the Lord Advocate and the Solicitor General. Whilst the First Minister chooses the ministers – and may decide to remove them at any time – the formal appointment or dismissal is made by the Sovereign.",Who makes formal appointment or dismissal decisions?
21,"The customary law of Normandy was developed between the 10th and 13th centuries and survives today through the legal systems of Jersey and Guernsey in the Channel Islands. Norman customary law was transcribed in two customaries in Latin by two judges for use by them and their colleagues: These are the Très ancien coutumier (Very ancient customary), authored between 1200 and 1245; and the Grand coutumier de Normandie (Great customary of Normandy, originally Summa de legibus Normanniae in curia laïcali), authored between 1235 and 1245.",How many customaries does Norman customary law have?
22,"vb (mainly tr) , means, meaning or meant. 1. (may take a clause as object or an infinitive) to intend to convey or express. 2. (may take a clause as object or an infinitive) intend: she didn't mean to hurt it. 3. (may take a clause as object) to say or do in all seriousness: the boss means what he says about strikes.",what does it mean to be colossal
